"Согласно книге, что является самой опасной ловушкой в воспитании мальчиков?","Не разговаривать с сыном об эволюции его физического, эмоционального и социального «Я»."
"Если родители не будут вести с сыном важные разговоры, кто, по мнению автора, может занять их место?","Друг, родственник с иной идеологией или Интернет."
Какой возрастной период развития мальчиков охватывает книга «Расшифровка мальчиков»?,От восьми-девяти лет до двадцати с небольшим.
Как автор предлагает родителям относиться к собственным ошибкам в воспитании?,"Признавать их, извиняться при необходимости и исправлять, давая себе еще один шанс."
Каков первый и главный совет по общению с мальчиками на сложные темы?,"Начать разговаривать, преодолевая собственное чувство неловкости."
"Что следует делать родителям, когда их сын готов разговаривать?","Слушать и задавать вопросы, чтобы избежать доминирования в разговоре."
Почему автомобиль является идеальным местом для откровенных разговоров с сыном?,"Потому что это позволяет избежать прямого зрительного контакта, снижая напряжение."
Что необходимо сделать со всеми гаджетами перед началом откровенного разговора с ребенком?,"Отключить их, чтобы внимание сына не было приковано к экрану."
"Родителям следует использовать _____, чтобы инициировать важные разговоры, не назначая специальных встреч.",педагогически значимые моменты
"Почему важно объяснять причину установленного правила, а не просто говорить «нет»?","Это дает логическое обоснование, которое помогает ребенку применять правило самостоятельно."
"Что рекомендуется делать, если в разговоре с сыном возникает пауза?",Набраться терпения и позволить ребенку самому нарушить молчание.
"Как можно поддержать сына, если его беспокоит один из аспектов полового созревания (например, прыщи)?","Указать на положительную сторону его развития (например, быстрый рост), чтобы напомнить о благих элементах."
"Что делать, если ребенок не хочет обсуждать определенную тему с родителями?","Найти ему «временную замену» — другого взрослого, которому доверяют и ребенок, и родители."
"Каково самое ценное умение для родителей, согласно последнему совету в первой главе?",Умение признавать и исправлять свои ошибки.
Какой гормон находится в центре мужественности и отвечает за множество аспектов «самцовости»?,Тестостерон.
"Помимо агрессии, за какие физиологические процессы отвечает тестостерон?","За формирование мужских частей тела, половое влечение, плотность костей и выработку эритроцитов."
Термин: Гормон,"Вещество, естественным образом вырабатываемое организмом и регулирующее активность клеток или целых органов."
Где в мужском организме вырабатывается около 90% тестостерона после начала полового созревания?,В тестикулах (яичках).
Какая область мозга запускает процесс полового созревания у мальчиков?,Гипоталамус.
"Гипоталамус начинает вырабатывать _____, что является стартом полового созревания.",ГнРГ (гонадотропин-рилизинг-гормон)
"На какую область мозга действует ГнРГ, чтобы продолжить каскад полового созревания?",На гипофиз (питуитарную область).
Какие два гормона вырабатывает гипофиз в ответ на ГнРГ?,ЛГ (лютеинизирующий гормон) и ФСГ (фолликулостимулирующий гормон).
Какую функцию выполняет лютеинизирующий гормон (ЛГ) в тестикулах?,Запускает выработку тестостерона.
Какую функцию выполняет фолликулостимулирующий гормон (ФСГ) в тестикулах?,"Стимулирует рост семенных канальцев, где будет вырабатываться сперма."
Как повышение уровня тестостерона в крови влияет на гипоталамус?,"Оно подает сигнал гипоталамусу прекратить выработку ГнРГ, создавая цикл отрицательной обратной связи."
Какие внешние изменения у мальчика происходят под действием высокого уровня тестостерона?,"Рост пениса и тестикул, рост мышечной массы, понижение голоса."
Что такое андроген?,"Это общий термин для любого «мужского» полового гормона, к которым относится и тестостерон."
"Какие гормоны, а не тестостерон из тестикул, в основном отвечают за появление волос на теле, сальность кожи и телесный запах?",Надпочечные андрогены.
Где вырабатываются надпочечные андрогены?,"В надпочечниках, железах, располагающихся на верхушке почек."
"Как называется форма пубертата, вызванная действием надпочечных андрогенов и проявляющаяся в виде запаха и волос на лобке?",Адренархе.
Означает ли наступление адренархе (появление запаха и лобковых волос) достижение репродуктивной зрелости?,"Нет, репродуктивная зрелость наступает только после созревания тестикул."